Date,Fighter 1,Fighter 2,Winner,Method of Victory ,Weight Class,Venue,Title Fight,Main Event,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,Submission,KO/TKO,Finish,Decision,Stand Up,Late Sub,Late KO,Last Second Finish,F1 Control Proportion,F2 Control Proportion,F1 Sig Strike/Min,F2 Strike/Min,F2 Sig Strike/Min,F1 TDA/Min,F2 TDA/Min,F1 Strike/KD,F2 Strike/KD,F1 KD/Min,F2 KD/Min,F2 KD/Sec
3/4/2023,Ian Garry,Song Kenan,F1,KO/TKO,WW,"Las Vegas, NV",0,0,862,0,0,5,3,2,44,231,127,58,36,33,120,55,18,8,29,1,1,0,1,1,0,0,0,1,1,0.01,0.05,16.08,8.82,8.34,3.84,0,0.18,0.24,0.48,0.06,0
3/4/2023,Mana Martinez,Cory Saaiman,F2,MD,BW,"Las Vegas, NV",0,0,900,0,0,0,1,1,247,160,60,40,15,5,272,117,66,23,28,0,1,0,0,0,1,0,0,0,0,0,0.27,10.68,4.02,18.12,7.8,0,0.06,0,0.24,0,0
3/4/2023,Damon Blackshear,Farid Basharat,F2,UD,BW,"Las Vegas, NV",0,0,900,6,1,158,6,3,328,164,46,23,12,11,115,58,36,14,8,0,0,0,0,0,1,0,0,0,0,0.18,0.36,10.92,3.06,7.68,3.84,0.42,0.42,0,0,0,0
3/4/2023,Esteban Ribovics ,Loik Radzhabov,F2,UD,LW,"Las Vegas, NV",0,0,900,1,0,31,21,11,459,162,66,52,11,3,117,40,33,6,1,1,0,0,0,0,1,0,0,0,0,0.03,0.51,10.8,4.38,7.8,2.64,0.06,1.38,0.36,0,0.06,0
2/25/1934,Andre Muniz,Brendan Allen,F2,RNC,MW,Apex,0,1,865,3,0,15,1,1,252,114,43,25,8,10,129,42,21,12,9,0,0,1,0,1,0,0,0,0,0,0.02,0.29,7.92,3,8.94,2.94,0.18,0.06,0,0,0,0
2/25/1934,Augusto Sakai,Don'Tale Mayes,F1,UD,HW,Apex,0,0,900,2,1,531,1,0,166,173,53,27,18,8,121,29,15,10,4,0,0,0,0,0,1,0,0,0,0,0.59,0.18,11.52,3.54,8.04,1.92,0.12,0.06,0,0,0,0
2/25/1934,Mike Malott,Yohann Lainesse,F1,Arm Triangle,WW,Apex,0,0,255,1,1,96,1,0,0,28,9,3,4,2,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.38,0,6.6,2.1,0.96,0.24,0.24,0.24,0,0,0,0
2/25/1934,Erick Gonzalez,Trevor Peek,F2,KO/TKO,LW,Apex,0,0,299,6,4,135,1,0,16,35,7,5,1,1,86,51,38,8,5,0,2,0,1,1,0,0,0,0,0,0.45,0.05,7.02,1.38,17.28,10.26,1.2,0.18,0,1.38,0,0.01
2/25/1934,Jordan Leavitt,Victor Martinez,F1,KO/TKO,LW,Apex,0,0,147,2,0,46,0,0,0,38,17,8,6,3,31,7,4,0,3,1,0,0,1,1,0,1,0,0,0,0.31,0,15.54,6.96,12.66,2.88,0.84,0,1.56,0,0.42,0
2/25/1934,Ode Osbourne,Charles Johnson,F1,SD,FLW,Apex,0,0,900,10,3,173,5,1,78,157,48,17,10,21,147,60,28,10,22,0,0,0,0,0,1,0,0,0,0,0.19,0.09,10.44,3.18,9.78,4.02,0.66,0.36,0,0,0,0
