Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Jeremy Stephens,LW,1,1.08,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,1.846,0,0,0,0,-8.5665,-4.0842,-0.3042,-0.1115,-0.0222
Rodolfo Viera,MW,2,9.39,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,6.655,3.088,0.745,0.373,0,-3.5079,-0.9147,0.4654,0.2663,-0.0155
Rodrigo Nascimento,HW,1,6.48,0,1,0,0,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,0,0,13.111,7.558,0.463,0,0,3.0311,3.4648,0.2807,-0.0749,-0.0228
Connor McGregor,LW,2,6.27,0,2,0,0,0,2,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,11.649,4.468,0.08,0,0,1.2365,0.3838,-0.2242,-0.1115,-0.0222
Carlos Condit,WW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,12.933,3.4,0.267,0.067,0,2.2032,-0.9138,0.0244,-0.0195,-0.0226
Omari Akhmedov,MW,2,10.84,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,11.945,3.367,0.646,0.184,0,1.7821,-0.6357,0.3664,0.0773,-0.0155
Jerome Rivera,FLW,3,5.82,0,3,0,1,0,1,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.33,0.33,0.33,0.67,13.855,1.947,0.344,0,0,4.2462,-1.6586,0.0597,-0.104,-0.0297
Michel Prazeres,WW,1,7.17,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.581,0.837,0.419,0,0,-5.1488,-3.4768,0.1764,-0.0865,-0.0226
Justin Jaynes,LW,2,11.82,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,5.755,2.327,0.169,0.085,0,-4.6575,-1.7572,-0.1352,-0.0265,-0.0222
Yancy Medeiros,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,15.133,6.867,0.133,0.133,0,4.7205,2.7828,-0.1712,0.0215,-0.0222
Dhiego Lima,WW,2,11.52,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,11.288,3.994,0.217,0,0,0.5582,-0.3198,-0.0256,-0.0865,-0.0226
Aleksa Camur,LHW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,11.067,6.8,0.133,0,0,1.3985,2.7064,-0.1105,-0.0851,-0.0242
Roque Martinez,HW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,20.6,4.267,0,0,0,10.5201,0.1738,-0.1823,-0.0749,-0.0228
Nate Diaz,WW,1,25,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.92,3.04,0,0,0,-1.8098,-1.2738,-0.2426,-0.0865,-0.0226
Demian Maia,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,3.667,1.4,1.4,0.067,0,-7.0628,-2.9138,1.1574,-0.0195,-0.0226
Carlos Felipe,HW,2,15,2,0,2,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,11.133,5.7,0.033,0,0,1.0531,1.6068,-0.1493,-0.0749,-0.0228
Walt Harris,HW,1,4.1,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,10,5.61,0,0,0,-0.0799,1.5168,-0.1823,-0.0749,-0.0228
Victor Rodriguez,FLW,1,1,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,3,0,0,0,0,-6.6088,-3.6056,-0.2843,-0.104,-0.0297
Beneil Dariush,LW,2,15,2,0,2,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.133,2.833,0.7,0.267,0,-1.2795,-1.2512,0.3958,0.1555,-0.0222
Jacare Souza,MW,1,3.98,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.774,2.762,0.502,0.251,0,-4.3889,-1.2407,0.2224,0.1443,-0.0155
Kevin Aguilar,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,13.067,5.4,0.133,0,0,2.0001,1.0682,-0.1307,-0.1,-0.0191
Maurice Green,HW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,4.8,0.333,0,0,0,-5.2799,-3.7602,-0.1823,-0.0749,-0.0228
Gregor Gillespie,LW,1,9.85,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.107,4.569,0.812,0.406,0,-3.3055,0.4848,0.5078,0.2945,-0.0222
Christian Aguilera,WW,1,2.87,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.233,0.349,0.349,0,0,-5.4968,-3.9648,0.1064,-0.0865,-0.0226
KB Bhullar,MW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.8,4.667,0,0,0,-1.3629,0.6643,-0.2796,-0.1067,-0.0155
Luke Sanders,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,15,7.867,0.333,0.133,0.067,3.9331,3.5352,0.0693,0.033,0.0479
Chris Weidman,MW,1,0.28,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,7.059,3.529,0,0,0,-3.1039,-0.4737,-0.2796,-0.1067,-0.0155
Stefan Sekulic,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,3.933,2.2,0.467,0.2,0,-6.7968,-2.1138,0.2244,0.1135,-0.0226
Luis Pena,LW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13,6,0,0,0,2.5875,1.9158,-0.3042,-0.1115,-0.0222
Alexander Munoz,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,11.467,5.333,0.6,0.267,0,1.0545,1.2488,0.2958,0.1555,-0.0222
Juan Espino,HW,1,11.08,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,5.053,1.083,0.451,0.361,0,-5.0269,-3.0102,0.2687,0.2861,-0.0228
Bartosz Fabinski,MW,1,2,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,11.5,3,0.5,0.5,0,1.3371,-1.0027,0.2204,0.3933,-0.0155
Anthony Birchak,BW,1,6.52,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,9.054,2.762,0.153,0,0,-1.859,-1.512,-0.1378,-0.0984,-0.0264
