Name,Height,Reach,Stance
Mike Bencic,"6' 0""",--,Orthodox
Dave Beneteau,"6' 2""",--,Orthodox
Karla Benitez,"5' 3""",--,
Gabriel Benitez,"5' 8""","71.0""",Southpaw
Charles Bennett,"5' 8""",--,Orthodox
Josh Bennett,"6' 4""",--,Orthodox
DeAnna Bennett,"5' 4""","68.0""",Orthodox
Lance Benoist,"5' 11""","72.0""",Southpaw
Joe Benoit,"5' 9""",--,Orthodox
Ryan Benoit,"5' 5""","68.0""",Orthodox
Pat Benson,"5' 9""",--,
Len Bentley,"5' 9""",--,
Steve Berger,"5' 11""",--,Orthodox
Kenneth Bergh,"6' 2""","74.0""",Orthodox
Bret Bergmark,"5' 9""",--,
Keith Berish,"6' 0""",--,Orthodox
Dennis Bermudez,"5' 6""","66.0""",Orthodox
Manny Bermudez,"5' 10""","71.0""",Orthodox
Talita Bernardo,"5' 4""","68.0""",Orthodox
Dave Berry,--,--,
Keith Berry,"6' 1""",--,
Dieusel Berto,"5' 9""",--,
Edson Berto,"5' 6""",--,Orthodox
Allen Berube,"5' 8""",--,Orthodox
Anton Berzin,"6' 2""",--,Orthodox
Scott Bessac,"6' 4""",--,
Matt Bessette,"5' 10""","70.0""",Orthodox
Khadzhi Bestaev,"6' 6""","76.0""",
Fernando Bettega,--,--,
Arjan Bhullar,"6' 1""","75.0""",Orthodox
KB Bhullar,"6' 4""","78.0""",Switch
Bibulatov Magomed,"5' 5""","65.0""",Orthodox
David Bielkheden,"5' 10""","71.0""",Orthodox
Blake Bilder,"5' 8""","68.0""",Switch
Jonas Bilharinho,"5' 11""","75.0""",Switch
Jeremiah Billington,"5' 9""",--,Orthodox
Scott Bills,"5' 10""",--,
Anthony Birchak,"5' 8""","69.0""",Orthodox
Chris Birchler,"6' 3""",--,Switch
Michael Bisping,"6' 1""","75.0""",Orthodox
Amaury Bitetti,"5' 9""",--,Orthodox
Caio Bittencourt,"6' 0""","75.0""",Orthodox
Simon Biyong,--,--,
Jan Blachowicz,"6' 2""","78.0""",Orthodox
Jason Black,"5' 8""",--,Orthodox
Brad Blackburn,"5' 10""","73.0""",Orthodox
Jason Blackford,--,--,
Tom Blackledge,--,--,Orthodox
Sherrard Blackledge,"5' 11""","75.0""",Orthodox
Damon Blackshear,"5' 10""","72.0""",Switch
Erin Blanchfield,"5' 4""","66.0""",Orthodox
Maximo Blanco,"5' 8""","71.0""",Orthodox
David Blanco,"5' 7""",--,
Curtis Blaydes,"6' 4""","80.0""",Orthodox
Tereza Bleda,"5' 9""","71.0""",Orthodox
Arlene Blencowe,"5' 5""",--,
Byron Bloodworth,"5' 8""",--,Orthodox
Dashawn Boatwright,"6' 0""",--,Orthodox
Dan Bobish,"6' 2""",--,Southpaw
Mark Bocek,"5' 8""","75.0""",Orthodox
Kyle Bochniak,"5' 7""","70.0""",Orthodox
James Bochnovic,"6' 4""","81.0""",Orthodox
Jeremy Boczulak,--,--,
Tim Boetsch,"6' 0""","74.0""",Orthodox
Galore Bofando,"5' 11""","72.0""",Switch
Jay Bogan,--,--,
Roman Bogatov,"5' 8""","73.0""",Orthodox
Derek Bohi,"6' 4""",--,
Jerry Bohlander,"5' 11""",--,Orthodox
Mandy Bohm,"5' 7""","71.0""",Orthodox
Kotetsu Boku,"5' 9""",--,Orthodox
Gaston Bolanos,--,--,
Kyle Bolt,"6' 2""",--,
Denys Bondar,"5' 6""","69.0""",Orthodox
Luc Bondole,"6' 2""",--,
Tony Bonello,"6' 2""",--,
Gabriel Bonfim,"6' 1""","72.0""",Orthodox
Ismael Bonfim,"5' 8""","71.0""",Orthodox
Jesse Bongfeldt,"6' 0""",--,Orthodox
Marcos Bonilla,"5' 10""",--,
Stephan Bonnar,"6' 4""","79.0""",Orthodox
Rogerio Bontorin,"5' 5""","67.0""",Orthodox
Ray Borg,"5' 4""","63.0""",Orthodox
Igor Borisov,"6' 0""",--,Orthodox
Calen Born,"5' 8""","72.0""",Switch
Caio Borralho,"5' 10""","75.0""",Southpaw
Zachary Borrego,"6' 2""","78.0""",Switch
Viacheslav Borshchev,"5' 11""","69.0""",Orthodox
Tanner Boser,"6' 2""","75.0""",Orthodox
Steve Bosse,"5' 11""","72.0""",Orthodox
Marcus Bossett,"6' 1""",--,Orthodox
Chris Bostick,--,--,
Poliana Botelho,"5' 8""","67.0""",Orthodox
Francois Botha,"6' 2""",--,Orthodox
Gregory Bouchelaghem,"6' 2""",--,Switch
Roy Boughton,"6' 0""",--,
Rich Bouphanouvong,"5' 7""",--,
Mike Bourke,"6' 0""",--,Orthodox
Jess Bouscal,--,--,
Tai Bowden,"5' 11""",--,
Melton Bowen,"6' 0""",--,Orthodox
Kyron Bowen,"6' 3""","73.0""",Orthodox
Brian Bowles,"5' 7""","70.0""",Orthodox
Roger Bowling,"5' 9""","68.0""",Orthodox
Blake Bowman,"6' 2""",--,
Ashe Bowman,"5' 9""",--,
Anvar Boynazarov,"5' 9""",--,Orthodox
