Name,Height,Reach,Stance
Georgi Karakhanyan,"5' 8""",--,
Alex Karalexis,"5' 8""","66.0""",Orthodox
Impa Kasanganay,"5' 11""","75.0""",Orthodox
Jinnosuke Kashimura,"5' 7""","71.0""",Southpaw
Nadia Kassem,"5' 5""","66.0""",Southpaw
Yusuke Kasuya,"5' 7""",--,Southpaw
Tetsuji Kato,--,--,Orthodox
Hisaki Kato,"6' 0""",--,
Brad Katona,"5' 6""","64.0""",Orthodox
Calvin Kattar,"5' 11""","72.0""",Orthodox
Sarah Kaufman,"5' 5""","66.0""",Orthodox
Yusuke Kawaguchi,"6' 0""",--,
Canaan Kawaihae,"6' 0""","71.0""",Southpaw
Tatsuya Kawajiri,"5' 7""","69.0""",Orthodox
Ryo Kawamura,"5' 11""",--,Orthodox
Doug Kay,--,--,
Toshiomi Kazama,"5' 7""","69.0""",Orthodox
Julie Kedzie,"5' 5""",--,Orthodox
Ryan Keenan,"5' 10""",--,
CJ Keith,"6' 0""",--,Orthodox
Chris Kelades,"5' 7""","68.0""",Orthodox
Brian Kelleher,"5' 6""","66.0""",Switch
Mayana Kellem,"5' 5""",--,Orthodox
Tony Kelley,"5' 9""","70.0""",Switch
Paul Kelly,"5' 9""","70.0""",Orthodox
John Kelly,"5' 9""",--,
Daniel Kelly,"6' 0""","70.0""",Southpaw
Tim Kennedy,"5' 11""","74.0""",Orthodox
Steve Kennedy,"5' 11""",--,Orthodox
Jeremy Kennedy,"5' 11""","71.0""",Orthodox
Waylon Kennell,"6' 0""",--,
Casey Kenney,"5' 7""","68.0""",Southpaw
Maimaitituoheti Keremuaili,"5' 6""","66.0""",Orthodox
Aurelijus Kerpe,--,--,Orthodox
Mark Kerr,"6' 3""",--,Switch
Will Kerr,"5' 10""","69.0""",Orthodox
Ron Keslar,--,--,
Rustam Khabilov,"5' 8""","73.0""",Orthodox
Adam Khaliev,"6' 0""",--,Orthodox
Sergey Khandozhko,"6' 1""","74.0""",Orthodox
Sergei Kharitonov,"6' 0""",--,Orthodox
Alfred Khashakyan,"5' 8""","70.0""",Orthodox
Aliaskhab Khizriev,"5' 9""","74.0""",Southpaw
WonBin Ki,"5' 11""","73.0""",Orthodox
Pannie Kianzad,"5' 7""","66.0""",Orthodox
Akira Kikuchi,"5' 8""",--,Orthodox
Katsunori Kikuno,"5' 8""","66.0""",Orthodox
Sanae Kikuta,"5' 9""",--,Orthodox
Jacob Kilburn,"5' 9""","72.0""",Orthodox
Dong Hyun Kim,"6' 2""","76.0""",Southpaw
Jin Oh Kim,"5' 9""",--,Orthodox
Dae Won Kim,"5' 11""",--,Orthodox
Jong Wang Kim,"6' 1""",--,
Jong Won Kim,"5' 7""",--,Orthodox
Min Soo Kim,"6' 1""",--,Southpaw
Jong Man Kim,"5' 7""",--,Orthodox
Ji Yeon Kim,"5' 7""","72.0""",Orthodox
MinWoo Kim,"5' 8""","72.0""",Orthodox
HanSeul Kim,"6' 1""","74.0""",Southpaw
KyeungPyo Kim,"5' 9""","71.0""",Orthodox
Sang Uk Kim,--,--,
Jeremy Kimball,"6' 0""","72.0""",Switch
Rob Kimmons,"5' 10""","73.0""",Orthodox
Dustin Kimura,"5' 7""","71.0""",Orthodox
Taiei Kin,"5' 11""",--,Orthodox
Mike King,"6' 3""",--,
Kyle Kingsbury,"6' 4""","79.0""",Orthodox
Yusaku Kinoshita,"6' 0""","71.0""",Southpaw
Kamuela Kirk,"5' 10""","75.0""",Switch
Yurij Kiseliov,"5' 8""",--,Orthodox
Justine Kish,"5' 5""","64.0""",Orthodox
Koji Kitao,"6' 7""",--,Southpaw
Satoru Kitaoka,"5' 6""",--,
Top Noi Kiwram,"5' 5""","67.0""",Southpaw
Ludovit Klein,"5' 7""","72.0""",Southpaw
Seth Kleinbeck,"6' 2""",--,
Stefan Klever,--,--,Orthodox
Felix Klinkhammer,"6' 0""",--,
Drakkar Klose,"5' 9""","70.0""",Orthodox
Michael Knaap,"6' 2""",--,Orthodox
Kevin Knabjian,"5' 10""",--,Orthodox
Jason Knight,"5' 10""","71.0""",Orthodox
William Knight,"5' 10""","73.0""",Orthodox
Josefine Knutsson,"5' 3""","61.0""",Orthodox
Isao Kobayashi,"5' 8""",--,
Kelly Kobold,"5' 6""",--,Orthodox
Erik Koch,"5' 10""","71.0""",Southpaw
Sokun Koh,"6' 1""",--,
Shingo Kohara,"5' 6""",--,
Brad Kohler,"5' 9""",--,Orthodox
Charlie Kohler,"5' 9""",--,Orthodox
Tsuyoshi Kohsaka,"5' 11""",--,Orthodox
Kaloyan Kolev,"6' 2""","73.0""",Orthodox
John Kolosci,"5' 11""",--,Orthodox
Yuki Kondo,"5' 11""",--,Southpaw
Syuri Kondo,"5' 4""","66.0""",Orthodox
Cheick Kongo,"6' 4""","82.0""",Orthodox
Andrei Kopylov,"6' 2""",--,Orthodox
Roman Kopylov,"6' 0""","75.0""",Southpaw
Bruno Korea,"5' 6""","65.0""",
Andrey Koreshkov,"6' 0""",--,
Josh Koscheck,"5' 10""","73.0""",Orthodox
Steven Koslow,"5' 7""","69.0""",Switch
Naoyuki Kotani,"5' 8""","66.0""",Southpaw
Ilya Kotau,--,--,
Iouri Kotchkine,"6' 2""",--,Orthodox
Matt Kovacs,"6' 0""",--,Orthodox
Marcus Kowal,--,--,
Karolina Kowalkiewicz,"5' 3""","64.0""",Orthodox
Steve Kozola,--,--,
Derrick Krantz,"5' 10""","72.0""",Orthodox
James Krause,"6' 2""","73.0""",Orthodox
Pascal Krauss,"6' 1""",--,Orthodox
Rene Kronvold,"5' 8""",--,Orthodox
Jorgen Kruth,"6' 2""",--,
Nikita Krylov,"6' 3""","77.0""",Orthodox
Mariusz Ksiazkiewicz,"6' 3""","75.0""",Southpaw
Junya Kudo,--,--,Orthodox
John Kuhner,--,--,
Michael Kuiper,"6' 0""","73.0""",Orthodox
Anton Kuivanen,"5' 8""","72.0""",Orthodox
Maiju Kujala,--,--,
Sumit Kumar,--,--,
Aleksei Kunchenko,"5' 8""","70.0""",Orthodox
Rizvan Kuniev,"6' 4""","76.0""",Orthodox
Keigo Kunihara,"6' 0""",--,Orthodox
Kiichi Kunimoto,"5' 10""","71.0""",Orthodox
Leo Kuntz,"5' 10""",--,Orthodox
Korey Kuppe,"6' 5""","77.0""",Switch
Ramazan Kuramagomedov,"6' 1""","73.0""",Orthodox
Tsuyoshi Kurihara,"5' 10""",--,Orthodox
Eldari Kurtanidze,"5' 6""",--,Orthodox
Kyle Kurtz,--,--,
Guram Kutateladze,"5' 11""","72.0""",Orthodox
Lina Kvokov,"5' 9""",--,Orthodox
Kaleo Kwan,"5' 7""",--,
Jarrod Kwitty,"5' 8""",--,
Mike Kyle,"6' 4""","77.0""",Orthodox
Achmed Labasanov,"6' 3""",--,Orthodox
Josh LaBerge,"5' 10""",--,
Jeremiah Labiano,"5' 10""",--,
Daniel Lacerda,"5' 6""","70.0""",Switch
Luan Lacerda,"5' 7""","71.0""",Orthodox
Kemran Lachinov,--,--,
Aspen Ladd,"5' 6""","66.0""",Orthodox
Ryan LaFlare,"6' 1""","74.0""",Southpaw
Ben Lagman,"6' 2""",--,
Noad Lahat,"5' 9""","69.0""",Orthodox
Tina Lahdemaki,"5' 2""",--,Orthodox
Yohan Lainesse,"6' 1""","76.0""",Orthodox
Tim Lajcik,"6' 1""",--,Orthodox
Todd Lally,"5' 7""",--,Orthodox
Sean Lally,"6' 0""",--,Orthodox
Ricardo Lamas,"5' 8""","71.0""",Orthodox
Jason Lambert,"6' 3""","75.0""",Orthodox
Jose Landi-Jons,"5' 11""",--,Orthodox
Nate Landwehr,"5' 9""","72.0""",Orthodox
Austen Lane,"6' 6""","80.0""",Orthodox
Aaron Lanfranco,--,--,
Jeremy Lang,"5' 11""",--,Southpaw
Lionel Lanham,--,--,
Lina Lansberg,"5' 7""","65.0""",Orthodox
Taylor Lapilus,"5' 6""","73.0""",Southpaw
Chad Laprise,"5' 10""","71.0""",Orthodox
Anthony Lapsley,"5' 9""",--,Southpaw
TJ Laramie,"5' 6""","66.0""",Orthodox
Icho Larenas,"6' 3""",--,Orthodox
Lorenz Larkin,"5' 11""","72.0""",Orthodox
Jeremy Larsen,"5' 10""","70.0""",Orthodox
Brock Larson,"5' 11""","71.0""",Southpaw
Ryan Larson,--,--,
Bobby Lashley,"6' 3""","78.0""",Orthodox
Ilir Latifi,"5' 10""","73.0""",Orthodox
Sione Latu,"6' 0""",--,
Jenel Lausa,"5' 5""","68.0""",Orthodox
Joe Lauzon,"5' 10""","71.0""",Orthodox
Dan Lauzon,"5' 10""",--,Orthodox
Sandra Lavado,"5' 7""","66.0""",Orthodox
Chatt Lavender,"5' 8""",--,
Muhammed Lawal,"6' 0""","78.0""",Southpaw
Robbie Lawler,"5' 11""","74.0""",Southpaw
Tom Lawlor,"6' 0""","74.0""",Southpaw
Justin Lawrence,"5' 8""","67.0""",Orthodox
Lance Lawrence,"6' 1""","74.0""",Orthodox
Ronnie Lawrence,"5' 8""","68.0""",Switch
Eric Lawson,"6' 0""",--,Orthodox
Jimmy Lawson,"6' 0""","77.0""",Orthodox
Valmir Lazaro,"6' 0""","73.0""",Orthodox
Zviad Lazishvili,"5' 6""","69.0""",Orthodox
Mounir Lazzez,"6' 1""","76.0""",Orthodox
Cung Le,"5' 9""","70.0""",Southpaw
Thanh Le,"5' 9""","74.0""",Orthodox
Jordan Leavitt,"5' 9""","71.0""",Southpaw
Jerome LeBanner,"6' 3""",--,Southpaw
Chris Leben,"5' 11""","73.0""",Southpaw
Mickael Lebout,"5' 11""","73.0""",Orthodox
Stephen Ledbetter,"5' 9""",--,Orthodox
Justin Ledet,"6' 4""","80.0""",Orthodox
James Lee,"5' 11""",--,Southpaw
David Lee,"5' 10""",--,Orthodox
Jackie Lee,--,--,
Eun Soo Lee,"6' 1""",--,Orthodox
Tae Hyun Lee,"6' 6""",--,Orthodox
Tommy Lee,"5' 7""",--,Orthodox
Matt Lee,"5' 11""",--,Orthodox
Imani Lee,--,--,Orthodox
Vaughan Lee,"5' 6""","66.0""",Orthodox
Kevin Lee,"5' 9""","77.0""",Orthodox
Rocky Lee,"5' 9""",--,Orthodox
Andrea Lee,"5' 6""","69.0""",Orthodox
JeongYeong Lee,"5' 10""","73.0""",Orthodox
Jung Hyun Lee,--,--,
Chang Ho Lee,--,--,
Ricky Legere Jr.,"5' 8""",--,
Sherron Leggett,"5' 8""",--,Southpaw
Cheyden Leialoha,"5' 8""","73.0""",Orthodox
Claudia Leite,"5' 3""","64.0""",Orthodox
Thales Leites,"6' 1""","78.0""",Orthodox
Stefan Leko,"6' 2""",--,Orthodox
Gabe Lemley,"5' 8""",--,Orthodox
Amanda Lemos,"5' 4""","65.0""",Southpaw
Giacomo Lemos,"6' 3""","75.0""",Orthodox
Christophe Leninger,"6' 0""",--,Southpaw
Jesse Lennox,"5' 9""","72.0""",Orthodox
Jean Francois Lenogue,"6' 0""",--,Orthodox
Nik Lentz,"5' 8""","68.0""",Orthodox
Alberta Cerra Leon,"5' 8""",--,
Victoria Leonardo,"5' 5""","64.0""",Orthodox
Anthony Leone,"5' 6""",--,Orthodox
Chad Leonhardt,"6' 0""",--,
Kimo Leopoldo,"6' 3""",--,Orthodox
Michael Lerma,--,--,
Lukasz Les,--,--,
Brock Lesnar,"6' 3""","81.0""",Orthodox
Frank Lester,"5' 11""",--,Orthodox
Valerie Letourneau,"5' 7""","68.0""",Orthodox
Leah Letson,"5' 7""","71.0""",
Justin Levens,"5' 11""",--,Orthodox
Marcus LeVesseur,"5' 9""","70.0""",Southpaw
David Levicki,"6' 5""",--,
Kyle Levinton,--,--,
Natan Levy,"5' 9""","71.0""",Southpaw
John Lewis,"6' 0""",--,Southpaw
Derrick Lewis,"6' 3""","79.0""",Orthodox
Bevon Lewis,"6' 3""","79.0""",Orthodox
Brandon Lewis,"5' 4""","70.0""",Orthodox
Malik Lewis,"6' 0""","76.0""",Orthodox
Chi Lewis-Parry,"6' 9""",--,
Li Jingliang,"6' 0""","71.0""",Orthodox
Li Kaiwen,--,--,
Liang Na,"5' 5""","67.0""",Orthodox
Jess Liaudin,"5' 9""","72.0""",Orthodox
Chuck Liddell,"6' 2""","76.0""",Orthodox
Rodrigo Lidio,"5' 11""","73.0""",Orthodox
Sam Liera,--,--,
Zach Light,"5' 8""",--,Orthodox
Scott Lighty,"6' 2""",--,
Chris Liguori,"5' 9""",--,Orthodox
Donnie Liles,"5' 9""",--,Orthodox
Jae Suk Lim,"5' 9""",--,Orthodox
Hyun Gyu Lim,"6' 3""","77.0""",Orthodox
Juliana Lima,"5' 5""","65.0""",Orthodox
Dhiego Lima,"6' 2""","75.0""",Orthodox
Douglas Lima,"6' 1""",--,
Mabelly Lima,"5' 2""",--,Orthodox
Miguel Linares,--,--,
Emiliano Linares,"5' 8""","72.0""",Orthodox
Matt Lindland,"6' 0""","74.0""",Southpaw
Jake Lindsey,"5' 11""",--,Switch
John Lineker,"5' 3""","67.0""",Orthodox
Austin Lingo,"5' 10""","70.0""",Orthodox
Lucio Linhares,"6' 2""",--,Orthodox
Philipe Lins,"6' 2""","78.0""",Orthodox
Ariane Lipski,"5' 6""","67.0""",Orthodox
Tainara Lisboa,"5' 6""",--,
Dean Lister,"6' 1""","75.0""",Orthodox
Wesley Little,"6' 4""",--,
Abner Lloveras,"5' 11""",--,
Brian Lo-A-Njoe,"5' 7""",--,Orthodox
John Lober,"5' 11""",--,Orthodox
Artem Lobov,"5' 9""","65.0""",Southpaw
Dylan Lockard,"5' 9""","72.0""",Orthodox
Sean Loeffler,"6' 3""",--,Orthodox
Christian Lohsen,"6' 2""","77.0""",Southpaw
David Loiseau,"6' 0""","76.0""",Orthodox
Hector Lombard,"5' 9""","71.0""",Southpaw
Michael Lombardo,"6' 0""","72.0""",Orthodox
Rocky Long,--,--,
Thomas Longacre,"5' 9""",--,Orthodox
Loma Lookboonmee,"5' 1""","61.0""",Orthodox
Ange Loosa,"5' 10""","74.0""",Orthodox
Lucas Lopes,"6' 2""",--,
Dileno Lopes,"5' 5""",--,
Diego Lopes,"5' 11""","72.0""",Orthodox
Ivan Lopez,"5' 6""",--,Southpaw
Steve Lopez,"5' 11""",--,Orthodox
Federico Lopez,"5' 4""",--,Orthodox
Jorge Lopez,"5' 10""",--,Orthodox
Christopher Lopez,"5' 10""",--,
Matthew Lopez,"5' 7""","69.0""",Southpaw
Benito Lopez,"5' 10""","73.0""",Switch
Gustavo Lopez,"5' 5""","67.0""",Orthodox
Brendan Loughnane,"5' 10""","70.0""",Switch
Nate Loughran,"6' 2""",--,Orthodox
Rashard Lovelace,--,--,
Ian Loveland,"5' 8""",--,Orthodox
Jakob Lovstad,"6' 3""",--,Orthodox
Waylon Lowe,"5' 7""",--,Southpaw
Brandon Lowe,--,--,
Joe Lowry,"5' 11""","73.0""",Orthodox
Lu Kai,"5' 9""","68.0""",Orthodox
Robert Lucarelli,"6' 2""",--,
Matt Lucas,"6' 1""",--,
Cleber Luciano,"5' 6""",--,
Iasmin Lucindo,"5' 3""","66.0""",Orthodox
Duane Ludwig,"5' 10""","70.0""",Orthodox
Mike Lullo,"5' 8""",--,Orthodox
Dalcha Lungiambula,"5' 8""","76.0""",Orthodox
Alexandru Lungu,"6' 0""",--,Orthodox
Vicente Luque,"5' 11""","76.0""",Orthodox
Thaddeus Luster,"6' 3""",--,
Travis Lutter,"5' 11""","75.0""",Orthodox
Tucker Lutz,"5' 8""","72.0""",Orthodox
Lv Zhenhong,"5' 8""","67.0""",Switch
Stevie Lynch,"5' 10""",--,Orthodox
Adam Lynn,"5' 10""",--,Orthodox
Chris Lytle,"5' 11""","68.0""",Orthodox
Dong Hyun Ma,"5' 11""","70.0""",Orthodox
Pawan Maan,"5' 7""","70.0""",Orthodox
William Macario,"5' 11""","75.0""",Orthodox
Jason MacDonald,"6' 3""","80.0""",Orthodox
Rob MacDonald,"6' 3""","78.0""",Orthodox
Rory MacDonald,"6' 0""","76.0""",Orthodox
Ryan MacDonald,"5' 11""","71.0""",Switch
Clayton MacFarlane,--,--,
Ilima Macfarlane,"5' 4""",--,
Valesca Machado,"5' 4""","63.0""",Orthodox
Caio Machado,--,--,
Lyoto Machida,"6' 1""","74.0""",Southpaw
War Machine,"5' 11""",--,Orthodox
Anthony Macias,"5' 9""",--,Switch
Pauline Macias,"5' 4""","64.0""",Southpaw
Reza Madadi,"5' 11""","73.0""",Orthodox
Don Madge,"6' 0""","72.0""",Southpaw
Ryan Madigan,"6' 0""",--,Orthodox
Jon Madsen,"6' 0""","72.0""",Orthodox
Mark Madsen,"5' 8""","72.0""",Orthodox
Yoshiro Maeda,"5' 7""","68.0""",Southpaw
Leonardo Mafra,"5' 10""","70.0""",Orthodox
Vinny Magalhaes,"6' 3""","75.0""",Orthodox
Vinicius Magalhaes,--,--,
Caio Magalhaes,"6' 1""","73.0""",Orthodox
Bernardo Magalhaes,"5' 9""",--,Orthodox
Eric Magana,--,--,
Brandon Magana,--,--,Orthodox
Angela Magana,"5' 1""","65.0""",Orthodox
Neil Magny,"6' 3""","80.0""",Orthodox
Ibragim Magomedov,"6' 0""",--,Orthodox
Rashid Magomedov,"5' 9""","70.0""",Orthodox
Ruslan Magomedov,"6' 3""","78.0""",Orthodox
Abus Magomedov,"6' 2""","78.0""",Orthodox
Shara Magomedov,"6' 2""",--,
Zabit Magomedsharipov,"6' 1""","73.0""",Orthodox
John Maguire,"5' 9""","69.0""",Southpaw
Lolohea Mahe,--,--,
Michelle Maher,--,--,
Maheshate,"6' 0""","71.0""",Orthodox
Bill Mahood,"6' 3""",--,Orthodox
Klayton Mai,"5' 9""",--,
Demian Maia,"6' 1""","72.0""",Southpaw
Jennifer Maia,"5' 4""","64.0""",Orthodox
Nayara Maia,"5' 5""","66.0""",Orthodox
Roshan Mainam,--,--,
Levan Makashvili,"5' 8""","68.0""",Orthodox
John Makdessi,"5' 8""","68.0""",Orthodox
Islam Makhachev,"5' 10""","70.0""",Southpaw
Aliev Makhmud,"5' 6""",--,Southpaw
Zach Makovsky,"5' 4""","64.0""",Southpaw
Jeremy Malaterre,"5' 11""",--,
Fabio Maldonado,"6' 1""","75.0""",Orthodox
Marvin Maldonado,"5' 6""",--,
Bea Malecki,"5' 9""","74.0""",Orthodox
Nazareno Malegarie,"5' 8""",--,
Carl Malenko,"5' 11""",--,Orthodox
Jacob Malkoun,"5' 9""","73.0""",Orthodox
Mike Malott,"6' 1""","73.0""",Orthodox
Troy Mandaloniz,"5' 9""",--,Orthodox
Nate Maness,"5' 10""","72.0""",Orthodox
Michael Mangan,--,--,
Gary Mangat,"5' 7""",--,
Melvin Manhoef,"5' 9""",--,Orthodox
Melchor Manibusan,"5' 5""",--,Southpaw
Jon Manley,"6' 1""",--,Orthodox
Steve Mann,"6' 1""",--,
Marnic Mann,"5' 0""","64.0""",Southpaw
Chris Manuel,"5' 9""",--,Orthodox
Jimi Manuwa,"6' 1""","79.0""",Orthodox
Cristiano Marcello,"5' 9""","72.0""",Orthodox
Daniel Marcos,"5' 7""","69.0""",Orthodox
Jose Maria,"5' 5""",--,Orthodox
Marcos Mariano,"6' 1""","76.0""",Switch
Enrique Marin,"5' 10""",--,
Ronny Markes,"6' 1""","75.0""",Orthodox
Rory Markham,"6' 0""","71.0""",Orthodox
Randa Markos,"5' 4""","63.0""",Orthodox
Christina Marks,"5' 7""","69.0""",Orthodox
Nate Marquardt,"6' 0""","74.0""",Orthodox
Danilo Marques,"6' 6""","77.0""",Orthodox
Julian Marquez,"6' 2""","72.0""",Orthodox
Carmelo Marrero,"6' 0""","73.0""",Orthodox
Cesar Marscucci,--,--,
John Marsh,"6' 0""",--,Orthodox
CJ Marsh,--,--,
Eliot Marshall,"6' 2""","77.0""",Orthodox
Doug Marshall,"5' 10""",--,Orthodox
David Marshall,"6' 2""",--,
Francis Marshall,"5' 9""","72.0""",Orthodox
Jack Marshman,"6' 0""","73.0""",Orthodox
Terry Martin,"5' 8""","71.0""",Orthodox
Eric Martin,--,--,
Justin Martin,"6' 0""",--,
Dave Martin,"6' 0""",--,
Joe Martin,"5' 9""",--,
Anthony Rocco Martin,"6' 0""","73.0""",Orthodox
Mallory Martin,"5' 4""","63.0""",Orthodox
Michal Martinek,"6' 2""",--,Southpaw
Rainy Martinez,"6' 0""",--,Orthodox
Danny Martinez,"5' 6""","67.0""",Orthodox
Alonzo Martinez,"5' 10""",--,
Henry Martinez,"5' 7""","69.0""",Southpaw
Jonathan Martinez,"5' 8""","70.0""",Southpaw
Poppies Martinez,"5' 9""",--,
Andrew Martinez,"5' 9""",--,
Mana Martinez,"5' 10""","70.0""",Orthodox
Victor Martinez,"5' 8""","70.0""",Orthodox
Roque Martinez,"5' 10""","72.0""",Orthodox
Melissa Martinez,"5' 2""","66.0""",Southpaw
Wagner da Conceicao Martins,"6' 7""",--,Orthodox
Adriano Martins,"5' 10""","72.0""",Southpaw
Lucas Martins,"6' 0""","72.0""",Southpaw
Max Martyniouk,--,--,
Bristol Marunde,"6' 1""","75.0""",Orthodox
Shoji Maruyama,"5' 7""",--,Orthodox
Kazuma Maruyama,--,--,
Mike Massenzio,"6' 2""","73.0""",Southpaw
Jameel Massouh,"5' 10""","72.0""",Orthodox
Tiffany Masters,"5' 3""","65.0""",Orthodox
Jorge Masvidal,"5' 11""","74.0""",Orthodox
Al Matavao,"5' 8""","67.0""",Orthodox
Tateki Matsuda,"5' 7""",--,Orthodox
Daijiro Matsui,"5' 9""",--,Orthodox
Koichiro Matsumoto,"5' 7""",--,
Koyomi Matsushima,"5' 7""","66.0""",Orthodox
Naoki Matsushita,"5' 6""",--,Orthodox
AJ Matthews,"5' 11""",--,
Jake Matthews,"5' 11""","73.0""",Orthodox
Connor Matthews,"5' 8""",--,Switch
Claudio Mattos,--,--,Orthodox
John Matua,"6' 2""",--,Orthodox
Francesco Maturi,--,--,
Vladimir Matyushenko,"6' 0""","74.0""",Orthodox
Miranda Maverick,"5' 3""","65.0""",Southpaw
Nick Maximov,"6' 0""","76.0""",Southpaw
Elaina Maxwell,"5' 8""",--,Orthodox
Jeremy May,"6' 1""",--,
Jack May,"6' 8""",--,Switch
Don'Tale Mayes,"6' 6""","81.0""",Orthodox
Gray Maynard,"5' 9""","70.0""",Orthodox
Brooke Mayo,"5' 7""",--,
Gina Mazany,"5' 6""","68.0""",Southpaw
Sabina Mazo,"5' 7""","70.0""",Orthodox
Scott McAfee,"5' 8""",--,Orthodox
Bobby McAndrews,--,--,Orthodox
Michael McBride,"6' 1""",--,Orthodox
Ian McCall,"5' 5""","64.0""",Orthodox
Molly McCann,"5' 4""","62.0""",Orthodox
Charles McCarthy,"5' 10""","71.0""",Orthodox
Sean McCorkle,"6' 7""","81.0""",Orthodox
Kris McCray,"6' 0""","76.0""",Orthodox
Tamdan McCrory,"6' 4""","76.0""",Switch
Rob McCullough,"5' 9""","69.0""",Orthodox
Justin McCully,"6' 1""","73.0""",Orthodox
Robert McDaniel,"6' 3""","75.0""",Southpaw
Michael McDonald,"5' 11""",--,Orthodox
Scott McDonald,--,--,
Michael McDonald,"5' 9""","70.0""",Orthodox
Josh McDonald,--,--,
Miles McDonald,"5' 7""",--,
Justin McElfresh,"6' 6""",--,Orthodox
Drew McFedries,"6' 0""","72.0""",Southpaw
Liam McGeary,"6' 6""",--,
Gan McGee,"6' 10""",--,Orthodox
Court McGee,"5' 11""","75.0""",Orthodox
Ryan McGillivray,"5' 11""",--,
Ryan McGivern,"6' 0""",--,Orthodox
Jack McGlaughlin,--,--,Orthodox
Conor McGregor,"5' 9""","74.0""",Southpaw
Greg McIntyre,"5' 10""",--,Orthodox
Antonio McKee,"5' 8""",--,Southpaw
AJ McKee,"5' 10""",--,
Rhys McKee,"6' 2""","78.0""",Orthodox
Cory McKenna,"5' 3""","58.0""",Orthodox
Tim McKenzie,"6' 0""","74.0""",Orthodox
Cody McKenzie,"6' 0""","72.0""",Switch
Terrance McKinney,"5' 10""","73.0""",Switch
Brian McLaughlin,"5' 9""",--,
Jason McLean,"5' 5""",--,
Garreth McLellan,"6' 1""","72.0""",Southpaw
Sara McMann,"5' 6""","66.0""",Orthodox
James McSweeney,"6' 4""","77.0""",Switch
Charles McTorry,--,--,
Daniel McWilliams,"6' 1""",--,
Tim Means,"6' 2""","75.0""",Orthodox
Yancy Medeiros,"5' 10""","75.0""",Orthodox
Anistavio Medeiros,"5' 6""",--,Orthodox
Kaline Medeiros,"5' 3""",--,
Uros Medic,"6' 1""","71.0""",Southpaw
Todd Medina,"5' 10""",--,Southpaw
Jason Medina,"5' 9""",--,
Emil Meek,"5' 11""","74.0""",Switch
Sanford Alton Meeks,"6' 5""","75.0""",Orthodox
Gerald Meerschaert,"6' 1""","77.0""",Southpaw
Frank Megallon,"5' 10""",--,Southpaw
Derrick Mehmen,"6' 4""",--,
Miika Mehmet,--,--,Orthodox
Jordan Mein,"6' 0""","73.0""",Orthodox
Bryce Mejia,"6' 1""",--,
Brian Melancon,"5' 8""",--,Orthodox
Brandon Melendez,"5' 11""",--,Southpaw
Gilbert Melendez,"5' 9""","73.0""",Orthodox
Nair Melikyan,"5' 6""",--,
Marcelo Mello,"5' 7""",--,Southpaw
Fabio Mello,"5' 5""",--,Southpaw
Vanessa Melo,"5' 5""","65.0""",Orthodox
Antonio Mendes,"6' 3""","77.0""",Southpaw
Chad Mendes,"5' 6""","66.0""",Orthodox
Augusto Mendes,"5' 6""","65.0""",Orthodox
Eddie Mendez,"5' 10""",--,
Mateus Mendonca,"5' 6""","71.0""",Orthodox
Luis Mendoza,--,--,
Pietro Menga,"5' 7""","68.0""",Southpaw
Alonzo Menifield,"6' 0""","76.0""",Orthodox
Ivan Menjivar,"5' 6""","64.0""",Orthodox
Dave Menne,"5' 10""",--,Orthodox
Steve Mensing,"5' 11""",--,Orthodox
Buck Meredith,"6' 2""",--,
Adam Meredith,"6' 2""",--,
Joe Merritt,"6' 0""",--,Orthodox
Jeremiah Metcalf,"6' 1""",--,Orthodox
Jonathan Meunier,"6' 3""",--,Switch
Yaotzin Meza,"5' 9""","71.0""",Orthodox
Guy Mezger,"6' 1""",--,Orthodox
Brandon Michaels,"5' 9""",--,
Andreas Michailidis,"6' 0""","76.0""",Orthodox
David Michaud,"5' 9""",--,Orthodox
Chris Mickle,"5' 9""",--,Orthodox
Zachary Micklewright,"6' 0""","74.0""",Southpaw
Kristof Midoux,"6' 1""",--,Orthodox
Keith Mielke,"5' 8""",--,
Chris Mierzwiak,"6' 1""",--,
Gabriel Miglioli,"5' 8""",--,
Bojan Mihajlovic,"5' 11""","73.0""",Orthodox
Billy Miles,"5' 10""",--,Orthodox
Pat Miletich,"5' 10""",--,Orthodox
Curtis Millender,"6' 2""","76.0""",Orthodox
Phillip Miller,"5' 11""",--,Orthodox
Jason Miller,"6' 1""",--,Orthodox
Dan Miller,"6' 1""","74.0""",Orthodox
Jim Miller,"5' 8""","71.0""",Southpaw
Cole Miller,"6' 1""","73.0""",Orthodox
Henry Miller,"5' 7""",--,Southpaw
Micah Miller,"6' 0""",--,Orthodox
Aaron Miller,"5' 9""",--,
Mo Miller,"5' 8""","72.0""",Orthodox
Juliana Miller,"5' 7""","66.0""",Orthodox
Eddy Millis,"6' 1""",--,
Che Mills,"6' 1""","76.0""",Orthodox
Adam Milstead,"6' 3""","76.0""",Orthodox
Alberto Mina,"6' 0""","77.0""",Orthodox
Vitaly Minakov,"6' 2""",--,
Darrick Minner,"5' 7""","69.0""",Orthodox
Mike Minniger,--,--,
Ikuhisa Minowa,"5' 9""",--,Orthodox
Carlton Minus,"5' 10""","75.0""",Orthodox
Stipe Miocic,"6' 4""","80.0""",Orthodox
Frank Mir,"6' 3""","79.0""",Southpaw
Juan Miranda,--,--,
