Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Muslim Salikhov,WW,"5' 11""","70.0""",Orthodox,3,2,1,8.940,3.951,2.634,0.028,0.028,0.179,90,0.112,0.028,0.252,0.084,0.444444444,0.333333333,2.382,1.205,0.364,1.261,0.897,0.476,,,,,,,1,1,1,0,0
Danny Roberts,WW,"6' 1""","74.0""",Southpaw,2,0,2,8.750,2.228,6.141,0.000,0.109,0.049,295,0.000,0.000,0.054,0.054,0,0,0.924,0.707,0.598,4.620,1.359,0.163,,,,,,1,0,0,1,0,0
Zhalgas Zhumagulov,FLW,"5' 4""","66.0""",Switch,5,1,4,12.866,5.013,5.738,0.000,0.039,0.142,292,0.078,0.039,0.392,0.117,0.2,0.333333333,1.782,1.802,1.430,3.681,1.449,0.803,,,,,,3,0,0,1,0,1
Vince Morales,BW,"5' 9""","70.0""",Orthodox,4,2,2,11.843,4.103,4.337,0.021,0.000,0.021,243,0.021,0.128,0.085,0.404,0.25,0.315789474,2.615,1.233,0.255,2.530,0.723,1.084,,,,,,2,1,1,0,0,0
Miles Johns,BW,"5' 7""","66.0""",Orthodox,3,2,1,8.259,4.011,3.404,0.026,0.026,0.056,119,0.026,0.000,0.343,0.158,0.076923077,0,2.876,0.554,0.580,2.427,0.475,0.501,,,,,,,1,1,0,1,0
Ricky Turcios,BW,"5' 9""","71.0""",Orthodox,3,2,1,16.444,4.333,3.578,0.022,0.022,0.196,760,0.089,0.289,0.244,0.533,0.363636364,0.541666667,3.600,0.444,0.289,2.444,0.444,0.689,,,,,,1,2,0,0,0,0
Kevin Natividad,BW,"5' 6""","70.0""",Orthodox,2,0,2,7.389,2.779,4.737,0.063,0.063,0.316,381,0.442,0.126,0.821,0.316,0.538461538,0.4,2.147,0.442,0.189,4.547,0.063,0.126,,,,,,1,0,0,1,0,0
Brady Hiestand,BW,"5' 8""","71.0""",Orthodox,2,1,1,7.800,2.833,4.033,0.000,0.033,0.563,234,0.300,0.100,0.633,0.200,0.473684211,0.5,2.300,0.333,0.200,3.200,0.500,0.333,,,,,,1,1,0,0,0,0
Fernando Garcia,BW,"5' 7""","67.0""",Orthodox,2,0,2,7.633,1.933,2.533,0.000,0.000,0.047,596,0.033,0.167,0.067,0.367,0.5,0.454545455,1.233,0.233,0.467,1.100,0.833,0.600,,,,,,2,0,0,0,0,0
Dustin Poirier,LW,"5' 9""","72.0""",Southpaw,2,1,1,9.117,4.168,5.036,0.043,0.000,0.059,680,0.000,0.130,0.000,0.564,No TD Att,0.230769231,3.907,0.174,0.087,3.473,1.389,0.174,,,,,,,0,0,0,1,1
Michael Chandler,LW,"5' 8""","71.0""",Orthodox,5,2,3,13.441,5.486,5.137,0.050,0.075,0.269,246,0.125,0.025,0.349,0.050,0.357142857,0.5,3.616,1.347,0.524,3.741,0.299,1.097,,,,,,1,0,2,1,1,0
Frankie Edgar,BW,"5' 6""","68.0""",Orthodox,3,0,3,13.299,6.006,6.129,0.000,0.184,0.271,2,0.184,0.000,0.552,0.000,0.333333333,No TD Att,3.677,1.532,0.797,4.106,1.348,0.674,,,,,,,0,0,3,0,0
Dan Hooker,LW,"6' 0""","75.0""",Switch,5,2,3,13.622,4.055,3.168,0.032,0.032,0.291,130,0.095,0.032,0.222,0.317,0.428571429,0.1,1.457,1.267,1.331,2.376,0.507,0.285,,,,,,,1,1,2,1,0
Claudio Puelles,LW,"5' 10""","72.0""",Southpaw,4,3,1,5.773,1.702,2.245,0.000,0.025,0.412,493,0.123,0.074,0.493,0.222,0.25,0.333333333,0.962,0.641,0.099,0.691,0.839,0.715,,,,,,,1,0,1,0,2
Brad Riddell,LW,"5' 7""","71.0""",Orthodox,4,1,3,9.772,5.220,4.838,0.000,0.000,0.094,121,0.191,0.032,0.541,0.191,0.352941176,0.166666667,3.024,1.305,0.891,3.151,1.305,0.382,,,,,,,1,0,1,2,0
Renato Moicano,LW,"5' 11""","72.0""",Orthodox,4,2,2,8.310,3.545,4.674,0.000,0.023,0.234,829,0.158,0.113,0.384,0.384,0.411764706,0.294117647,3.071,0.339,0.135,3.342,0.836,0.497,,,,,,1,0,0,0,1,2
Dominick Reyes,LHW,"6' 4""","77.0""",Southpaw,2,0,2,11.649,6.287,7.858,0.000,0.185,0.045,98,0.092,0.092,0.092,0.185,1,0.5,3.698,2.311,0.277,6.287,1.572,0.000,,,,,,,0,0,2,0,0
Andre Petroski,MW,"6' 0""","73.0""",Switch,4,4,0,8.387,3.640,2.283,0.000,0.000,0.580,116,0.362,0.023,0.633,0.090,0.571428571,0.25,2.894,0.656,0.090,1.243,0.543,0.497,,,,,,,1,1,0,0,2
Wellington Turman,MW,"6' 0""","72.0""",Orthodox,4,2,2,6.888,3.056,3.856,0.000,0.000,0.235,875,0.073,0.218,0.606,0.388,0.12,0.5625,1.601,0.922,0.534,3.032,0.679,0.146,,,,,,1,1,0,1,0,1
Matt Frevola,LW,"5' 9""","71.0""",Orthodox,4,2,2,11.454,4.169,3.546,0.240,0.048,0.057,511,0.000,0.479,0.096,0.623,0,0.769230769,3.546,0.479,0.144,2.444,0.767,0.335,,,,,,1,0,2,1,0,0
Ottman Azaitar,LW,"5' 8""","71.0""",Switch,1,0,1,9.200,4.000,4.400,0.000,0.400,0.000,2,0.000,0.000,0.000,0.000,No TD Att,No TD Att,2.400,1.600,0.000,4.000,0.400,0.000,,,,,,,0,0,1,0,0
Mike Trizano,FW,"5' 11""","71.0""",Orthodox,4,2,2,9.395,4.130,6.271,0.066,0.066,0.055,579,0.022,0.087,0.022,0.175,1,0.5,2.513,1.092,0.524,2.928,1.879,1.464,,,,,,1,1,1,1,0,0
Seung-Woo Choi,FW,"6' 0""","74.0""",Orthodox,5,2,3,11.916,3.535,3.601,0.067,0.089,0.148,390,0.067,0.067,0.133,0.200,0.5,0.333333333,2.245,0.711,0.578,2.379,0.734,0.489,,,,,,1,1,1,1,1,0
Julio Arce,BW,"5' 7""","70.0""",Southpaw,4,2,2,13.544,4.588,3.485,0.000,0.044,0.018,401,0.022,0.000,0.066,0.110,0.333333333,0,3.243,0.949,0.397,2.007,0.838,0.640,,,,,,1,1,1,1,0,0
Montel Jackson,BW,"5' 10""","75.0""",Southpaw,3,3,0,8.446,2.753,1.502,0.219,0.000,0.508,87,0.125,0.063,0.250,0.282,0.5,0.222222222,2.127,0.438,0.188,0.594,0.469,0.438,,,,,,,2,1,0,0,0
Carlos Ulberg,LHW,"6' 4""","77.0""",Orthodox,4,3,1,13.640,8.516,3.534,0.071,0.035,0.052,27,0.071,0.000,0.071,0.035,1,0,5.053,1.802,1.661,3.110,0.283,0.141,,,,,,,1,2,1,0,0
Nicolae Negumereanu,LHW,"6' 0""","78.0""",Orthodox,5,4,1,12.826,4.566,5.874,0.000,0.023,0.291,5,0.092,0.000,0.321,0.069,0.285714286,0,3.511,0.390,0.665,4.382,1.078,0.413,,,,,,,2,2,1,0,0
Daniel Rodriguez,WW,"6' 1""","74.0""",Southpaw,5,4,1,13.861,7.187,4.412,0.000,0.000,0.035,648,0.000,0.176,0.032,0.369,0,0.47826087,4.861,0.834,1.492,2.294,1.107,1.011,,,,,,,3,1,0,1,0
Darrick Minner,FLW,"5' 7""","69.0""",Orthodox,4,1,3,6.388,2.380,2.355,0.025,0.025,0.557,551,0.175,0.025,0.200,0.125,0.875,0.2,1.628,0.426,0.326,1.704,0.601,0.050,,,,,,1,1,0,2,0,0
Tagir Ulanbekov,FLW,"5' 7""","70.0""",Southpaw,3,2,1,9.726,3.480,3.356,0.000,0.031,0.576,68,0.218,0.093,0.528,0.311,0.411764706,0.3,2.796,0.497,0.186,1.398,0.559,1.398,,,,,,1,1,0,0,0,1
Nate Maness,BW,"5' 10""","72.0""",Orthodox,3,1,2,8.049,1.520,4.682,0.041,0.041,0.010,889,0.041,0.205,0.041,0.493,1,0.416666667,1.191,0.287,0.041,3.368,0.739,0.575,,,,,,1,0,1,0,1,0
Grant Dawson,LW,"5' 10""","72.0""",Switch,4,3,1,8.462,2.791,2.667,0.018,0.000,0.594,447,0.231,0.018,0.836,0.036,0.276595745,0.5,1.547,0.889,0.356,1.636,0.658,0.373,,,,,,,0,1,0,0,2
Mark Madsen,LW,"5' 8""","72.0""",Orthodox,3,2,1,8.982,3.612,4.111,0.000,0.024,0.154,619,0.071,0.071,0.095,0.190,0.75,0.375,2.566,0.499,0.547,1.877,0.737,1.497,,,,,,,2,0,0,1,0
Benito Lopez,BW,"5' 10""","73.0""",Switch,1,0,1,5.102,3.469,8.980,0.000,0.000,0.000,156,0.000,0.204,0.000,0.204,No TD Att,1,1.224,0.408,1.837,4.082,2.449,2.449,,,,,,,0,0,0,1,0
Liudvik Sholinian,BW,"5' 10""","71.0""",Orthodox,2,0,2,9.133,2.500,5.667,0.000,0.000,0.098,427,0.000,0.133,0.200,0.400,0,0.333333333,1.833,0.600,0.033,3.800,0.900,0.967,,,,,,2,0,0,0,0,0
Johnny Munoz,BW,"5' 9""","71.0""",Orthodox,3,2,1,15.264,3.963,2.867,0.000,0.000,0.199,93,0.169,0.000,0.337,0.084,0.5,0,2.572,0.759,0.632,2.108,0.548,0.169,,,,,,,1,0,1,0,1
Carlos Candelario,FLW,"5' 8""","68.0""",Southpaw,2,0,2,8.609,3.444,6.490,0.000,0.044,0.226,417,0.132,0.044,0.265,0.221,0.5,0.2,1.634,1.104,0.706,3.974,1.280,1.236,,,,,,1,0,0,0,1,0
Calvin Kattar,FW,"5' 11""","72.0""",Orthodox,4,1,3,14.176,5.254,8.835,0.012,0.000,0.047,63,0.025,0.000,0.112,0.062,0.222222222,0,4.305,0.624,0.324,5.765,2.146,0.923,,,,,,2,1,0,1,0,0
Tim Means,WW,"6' 2""","75.0""",Orthodox,3,1,2,10.996,3.318,3.620,0.000,0.027,0.302,413,0.165,0.082,0.384,0.302,0.428571429,0.272727273,1.261,1.590,0.466,2.413,0.686,0.521,,,,,,1,1,0,0,1,0
Max Griffin ,WW,,,,4,3,1,9.063,4.627,3.761,0.085,0.000,0.159,360,0.085,0.085,0.211,0.380,0.4,0.222222222,2.725,0.592,1.310,2.113,1.056,0.592,,,,,,1,2,1,0,0,0
Jared Vanderaa,HW,"6' 4""","80.0""",Orthodox,7,1,6,12.175,4.897,5.711,0.000,0.012,0.052,958,0.000,0.099,0.012,0.123,0,0.8,2.553,1.086,1.258,3.750,1.443,0.518,,,,,,2,1,0,3,1,0
Josh Fremd ,MW,,,,1,0,1,9.799,4.126,1.719,0.000,0.000,0.112,166,0.000,0.516,0.172,0.688,0,0.75,1.375,1.891,0.860,1.203,0.172,0.344,,,,,,,0,0,0,1,0
Tresean Gore,MW,"6' 0""","75.0""",Switch,3,1,2,7.221,3.043,6.126,0.000,0.041,0.164,317,0.203,0.081,0.284,0.446,0.714285714,0.181818182,1.623,0.649,0.771,2.718,2.515,0.892,,,,,,1,0,0,1,0,1
Khalil Rountree,LHW,"6' 1""","76.0""",Southpaw,4,3,1,12.839,4.614,6.105,0.070,0.000,0.006,10,0.000,0.000,0.023,0.117,0,0,2.610,1.002,1.002,2.889,1.515,1.701,,,,,,1,1,2,0,0,0
Phil Hawes,MW,"6' 0""","77.0""",Orthodox,5,3,2,13.558,5.706,3.249,0.021,0.042,0.379,265,0.167,0.000,0.375,0.146,0.444444444,0,3.811,1.395,0.500,2.353,0.646,0.250,,,,,,,2,1,1,1,0
Andrei Arlovski,HW,"6' 3""","77.0""",Orthodox,5,3,2,11.456,5.322,5.549,0.000,0.019,0.013,609,0.000,0.057,0.000,0.075,No TD Att,0.75,3.190,1.265,0.868,3.529,1.019,1.000,,,,,,,3,0,0,2,0
Marcos de Lima,HW,"5' 7""",--,Orthodox,4,3,1,13.347,3.151,2.194,0.031,0.000,0.546,232,0.124,0.000,0.278,0.154,0.444444444,0,2.194,0.649,0.309,1.823,0.309,0.062,,,,,,1,1,1,0,0,1
Joseph Holmes,MW,"6' 4""","80.0""",Orthodox,3,1,2,6.878,3.605,2.859,0.041,0.000,0.176,459,0.041,0.166,0.124,0.331,0.333333333,0.5,2.030,0.829,0.746,1.492,0.787,0.580,,,,,,1,0,0,0,1,1
Jun-Yong Park,MW,,,,1,1,0,9.421,2.231,2.479,0.000,0.000,0.572,39,0.248,0.000,0.496,0.000,0.5,No TD Att,1.612,0.000,0.620,0.992,0.620,0.868,,,,,,,0,0,0,0,1
Chase Hooper,FW,"6' 1""","74.0""",Southpaw,3,1,2,11.919,3.420,3.352,0.000,0.102,0.338,748,0.237,0.102,0.542,0.169,0.4375,0.6,2.878,0.474,0.068,2.404,0.643,0.305,,,,,,1,0,1,1,0,0
Cody Durden,FLW,"5' 7""","67.0""",Southpaw,4,3,1,9.315,3.146,2.679,0.031,0.031,0.580,99,0.312,0.031,0.592,0.156,0.526315789,0.2,2.274,0.405,0.467,1.713,0.654,0.312,,,,,,,2,1,0,1,0
Carlos Mota,FLW,"5' 4""","69.0""",Orthodox,1,0,1,4.133,0.800,1.133,0.000,0.000,0.012,752,0.000,0.267,0.000,0.533,No TD Att,0.5,0.400,0.333,0.067,0.867,0.200,0.067,,,,,,1,0,0,0,0,0
Joshua Weems,BW,"5' 8""","69.0""",Orthodox,1,0,1,7.773,4.372,2.186,0.000,0.000,0.255,56,0.486,0.000,0.729,0.486,0.666666667,0,2.186,1.457,0.729,1.943,0.000,0.243,,,,,,,0,0,0,1,0
Charles Oliveira,LW,"5' 10""","74.0""",Orthodox,4,3,1,10.578,5.217,4.967,0.107,0.107,0.312,500,0.036,0.071,0.357,0.107,0.1,0.666666667,3.323,1.644,0.250,4.145,0.572,0.250,,,,,,,0,1,0,1,2
Aljamain Sterling,BW,"5' 7""","71.0""",Orthodox,3,3,0,10.974,4.341,2.950,0.000,0.019,0.358,604,0.150,0.132,0.883,0.132,0.170212766,1,2.349,1.541,0.451,1.560,0.752,0.639,,,,,,,1,1,0,0,0
TJ Dillashaw ,BW,,,,2,1,1,10.761,3.498,5.929,0.000,0.000,0.248,426,0.059,0.148,0.563,0.267,0.105263158,0.555555556,1.838,0.356,1.304,4.921,0.682,0.326,,,,,,,1,0,1,0,0
Sean O'Malley,BW,"5' 11""","72.0""",Switch,5,4,1,13.436,8.246,3.377,0.071,0.000,0.004,375,0.000,0.124,0.018,0.302,0,0.411764706,5.741,1.617,0.889,1.315,0.462,1.600,,,,,,,1,3,0,0,0
Beniel Dariush,LW,"5' 10""","72.0""",Southpaw,3,3,0,9.156,3.200,2.267,0.022,0.000,0.445,190,0.178,0.089,0.467,0.444,0.380952381,0.2,2.156,0.622,0.422,1.667,0.533,0.067,,,,,,,3,0,0,0,0
Belal Muhammad,WW,"5' 11""","72.0""",Orthodox,6,5,1,14.492,4.466,3.173,0.000,0.000,0.267,358,0.153,0.012,0.341,0.341,0.448275862,0.034482759,3.820,0.517,0.129,1.939,0.435,0.799,,,,,,,4,1,0,0,0
Sean Brady,WW,"5' 10""","72.0""",Orthodox,3,2,1,10.065,2.954,3.399,0.000,0.000,0.415,57,0.157,0.026,0.366,0.026,0.428571429,1,1.856,0.183,0.915,2.614,0.627,0.157,,,,,,,1,0,1,0,1
Makhmud Muradov,MW,"6' 2""","75.0""",Orthodox,3,1,2,10.920,3.822,2.845,0.000,0.000,0.151,409,0.057,0.115,0.115,0.402,0.5,0.285714286,2.557,0.776,0.489,2.011,0.345,0.489,,,,,,1,0,1,0,1,0
Caio Borralho,MW,"5' 10""","75.0""",Southpaw,3,3,0,5.599,1.411,1.297,0.000,0.000,0.589,385,0.137,0.068,0.182,0.091,0.75,0.75,0.910,0.250,0.250,0.410,0.250,0.637,,,,,,,3,0,0,0,0
Volkan Oezdemir,LHW,"6' 2""","75.0""",Orthodox,3,2,1,9.756,3.600,3.467,0.000,0.022,0.132,669,0.044,0.178,0.089,0.867,0.5,0.205128205,2.289,0.356,0.956,2.289,0.933,0.244,,,,,,1,2,0,0,0,0
Abubakar Nurmagomedov,WW,"5' 11""","72.0""",Orthodox,2,1,1,8.933,3.333,2.700,0.000,0.000,0.407,68,0.067,0.033,0.300,0.233,0.222222222,0.142857143,2.467,0.467,0.400,1.733,0.833,0.133,,,,,,1,1,0,0,0,0
Gadzhi Omargadzhiev,MW,"6' 1""","71.0""",Switch,2,0,2,8.018,1.728,2.454,0.000,0.000,0.052,1086,0.069,0.069,0.311,0.173,0.222222222,0.4,0.968,0.622,0.138,1.797,0.311,0.346,,,,,,2,0,0,0,0,0
Armen Petrosyan,MW,"6' 3""","71.0""",Orthodox,3,2,1,13.556,6.133,2.911,0.000,0.000,0.029,752,0.000,0.200,0.022,0.244,0,0.818181818,1.844,1.689,2.600,1.933,0.533,0.444,,,,,,1,2,0,0,0,0
AJ Dobson,MW,"6' 1""","76.0""",Orthodox,2,0,2,9.267,3.667,6.600,0.000,0.000,0.042,557,0.100,0.200,0.100,0.567,1,0.352941176,2.633,0.500,0.533,3.367,1.467,1.767,,,,,,2,0,0,0,0,0
Cub Swanson,FW,"5' 8""","70.0""",Orthodox,3,1,2,9.867,5.809,6.048,0.080,0.239,0.038,215,0.080,0.000,0.080,0.239,1,0,2.149,0.875,2.785,4.058,1.353,0.637,,,,,,,0,1,2,0,0
Jordan Wright,MW,"6' 2""","77.0""",Orthodox,3,1,2,14.068,6.615,7.826,0.093,0.093,0.523,93,0.280,0.000,0.466,0.373,0.6,0,4.658,1.863,0.093,6.429,1.211,0.186,,,,,,,0,1,2,0,0
Misha Cirkunov,LHW,"6' 3""","77.0""",Orthodox,4,1,3,8.163,3.356,3.315,0.000,0.083,0.297,195,0.249,0.041,0.994,0.249,0.25,0.166666667,1.657,0.870,0.829,2.113,0.663,0.539,,,,,,1,0,1,1,1,0
Brandon Davis,BW,"5' 10""","72.0""",Orthodox,1,0,1,12.600,5.067,5.800,0.000,0.133,0.101,45,0.067,0.067,0.200,0.267,0.333333333,0.25,2.867,1.067,1.133,3.000,1.667,1.133,,,,,,1,0,0,0,0,0
Nick Maximov,MW,"6' 0""","76.0""",Southpaw,4,2,2,7.759,1.751,3.393,0.000,0.000,0.393,692,0.324,0.195,0.692,0.303,0.46875,0.642857143,1.340,0.281,0.130,2.767,0.519,0.108,,,,,,1,2,0,0,1,0
Jacob Malkoun,MW,"5' 9""","73.0""",Orthodox,4,3,1,11.667,3.717,2.533,0.000,0.000,0.596,237,0.500,0.033,1.117,0.033,0.447761194,1,3.350,0.300,0.067,1.950,0.350,0.233,,,,,,1,3,0,0,0,0
Joanderson Brito,FW,"5' 8""","72.0""",Orthodox,3,2,1,7.959,3.274,3.725,0.056,0.000,0.363,302,0.226,0.113,0.339,0.113,0.666666667,1,2.145,0.282,0.847,2.822,0.564,0.339,,,,,,1,0,1,0,0,1
Mike Jackson,WW,"6' 2""","74.0""",Orthodox,2,1,1,9.785,5.169,10.708,0.000,0.369,0.028,30,0.000,0.185,0.369,0.185,0,1,3.877,0.554,0.738,6.831,3.323,0.554,,,,,,,0,0,1,0,0
Pete Rodriguez,WW,"5' 9""","71.0""",Switch,2,1,1,23.824,10.368,11.691,0.221,0.221,0.055,1,0.000,0.000,0.000,0.221,No TD Att,0,5.294,3.088,1.985,10.147,1.544,0.000,,,,,,,0,1,1,0,0
Francisco Trinaldo,WW,"5' 9""","70.0""",Southpaw,4,2,2,8.283,3.250,3.150,0.000,0.033,0.252,215,0.033,0.050,0.150,0.083,0.222222222,0.6,2.067,0.867,0.317,1.567,0.917,0.667,,,,,,2,2,0,0,0,0
Sodiq Yusuff,FW,"5' 9""","71.0""",Orthodox,3,2,1,10.033,3.934,2.951,0.000,0.033,0.173,341,0.033,0.098,0.131,0.295,0.25,0.333333333,1.410,1.049,1.475,1.902,0.754,0.295,,,,,,1,1,0,0,0,1
Mike Davis,LW,--,--,,2,2,0,12.800,5.767,6.000,0.000,0.000,0.296,65,0.400,0.033,0.667,0.133,0.6,0.25,3.567,1.567,0.633,3.733,0.933,1.333,,,,,,,2,0,0,0,0
Mike Davis,LW,"6' 0""","72.0""",Orthodox,2,2,0,12.800,5.767,6.000,0.000,0.000,0.296,65,0.400,0.033,0.667,0.133,0.6,0.25,3.567,1.567,0.633,3.733,0.933,1.333,,,,,,,2,0,0,0,0
Viacheslav Borshchev,LW,"5' 11""","69.0""",Orthodox,3,1,2,6.246,2.694,2.753,0.030,0.000,0.038,1316,0.000,0.651,0.000,0.947,No TD Att,0.6875,1.302,0.533,0.858,1.983,0.207,0.562,,,,,,2,0,1,0,0,0
John Castaneda,BW,"5' 6""","71.0""",Switch,3,1,2,13.006,6.077,4.645,0.116,0.039,0.150,64,0.116,0.116,0.271,0.232,0.428571429,0.5,4.181,0.697,1.200,3.445,0.890,0.310,,,,,,,0,1,1,1,0
Daniel Santos,BW,"5' 7""","67.0""",Orthodox,2,1,1,14.959,4.823,7.520,0.041,0.041,0.067,142,0.082,0.123,0.245,0.286,0.333333333,0.428571429,3.229,1.185,0.409,5.926,1.349,0.245,,,,,,1,0,1,0,0,0
Ilir Latifi,HW,"5' 10""","73.0""",Orthodox,2,2,0,6.200,1.600,2.433,0.000,0.000,0.504,44,0.167,0.000,0.300,0.000,0.555555556,No TD Att,1.333,0.267,0.000,1.367,0.600,0.467,,,,,,,2,0,0,0,0
Aleksei  Oleinik,HW,,,,1,0,1,7.533,1.867,2.533,0.000,0.000,0.002,509,0.000,0.200,0.000,0.400,No TD Att,0.5,0.600,0.467,0.800,2.133,0.400,0.000,,,,,,1,0,0,0,0,0
Joaquim Silva,LW,"5' 8""","69.0""",Southpaw,2,1,1,11.200,5.257,5.600,0.114,0.229,0.021,8,0.000,0.000,0.000,0.114,No TD Att,0,3.086,1.371,0.800,3.543,1.257,0.800,,,,,,,0,1,1,0,0
Jesse Ronson,LW,"5' 10""","70.0""",Southpaw,2,0,2,8.182,3.562,4.453,0.000,0.056,0.002,288,0.000,0.167,0.111,0.223,0,0.75,1.948,0.946,0.668,3.173,0.835,0.445,,,,,,,0,0,1,1,0
Krzysztof Jotko,MW,"6' 1""","77.0""",Southpaw,4,2,2,10.795,2.962,3.348,0.000,0.000,0.156,504,0.101,0.142,0.162,0.446,0.625,0.318181818,1.907,0.568,0.487,1.562,0.873,0.913,,,,,,1,2,0,0,1,0
Randy Costa ,BW,,,,2,0,2,19.394,8.606,8.727,0.000,0.121,0.000,13,0.000,0.121,0.000,0.121,No TD Att,1,7.394,0.848,0.364,5.091,1.091,2.545,,,,,,,0,0,1,1,0
Song Yadong ,BW,,,,2,1,1,11.719,3.077,4.661,0.045,0.000,0.075,227,0.090,0.045,0.090,0.633,1,0.071428571,2.081,0.724,0.271,3.213,0.769,0.679,,,,,,,0,1,1,0,0
Andre Fili,FW,"5' 11""","74.0""",Orthodox,3,1,2,11.375,4.615,5.128,0.000,0.047,0.235,112,0.093,0.000,0.186,0.466,0.5,0,3.869,0.466,0.280,2.657,0.932,1.538,,,,,,,1,0,1,0,0
Alen Amedovski,MW,"5' 10""","74.0""",Orthodox,2,0,2,7.625,2.408,6.020,0.000,0.401,0.000,24,0.000,0.201,0.000,0.201,No TD Att,1,1.003,0.401,1.003,4.615,0.602,0.803,,,,,,,0,0,1,1,0
Rodrigo Nascimento,HW,"6' 2""","80.0""",Orthodox,2,1,1,10.892,3.957,5.679,0.000,0.000,0.497,96,0.140,0.000,0.465,0.000,0.3,No TD Att,3.398,0.465,0.093,3.957,1.071,0.652,,,,,,,1,0,0,0,0
Anthony Hernandez,MW,"6' 0""","75.0""",Orthodox,3,3,0,8.322,3.524,1.925,0.000,0.000,0.619,422,0.474,0.148,0.740,0.326,0.64,0.454545455,2.902,0.592,0.030,1.214,0.652,0.059,,,,,,,1,0,0,0,2
Pat Sabatini,FW,"5' 8""","70.0""",Orthodox,5,4,1,8.411,1.666,1.499,0.021,0.000,0.601,484,0.250,0.083,0.583,0.146,0.428571429,0.571428571,1.207,0.333,0.125,0.791,0.479,0.229,,,,,,,3,0,1,0,1
Louis Cosce,WW,"5' 9""","71.0""",Orthodox,1,0,1,3.267,0.667,1.667,0.000,0.000,0.240,129,0.067,0.133,0.067,0.333,1,0.4,0.333,0.200,0.133,0.667,0.133,0.867,,,,,,1,0,0,0,0,0
Nikolas Motta,LW,"5' 9""","70.0""",Orthodox,2,1,1,9.459,4.173,5.842,0.093,0.093,0.008,34,0.000,0.000,0.000,0.000,No TD Att,No TD Att,3.617,0.278,0.278,2.875,0.927,2.040,,,,,,,0,1,1,0,0
Cameron VanCamp,WW,"6' 2""","74.0""",Switch,2,0,2,11.094,5.313,6.406,0.000,0.313,0.000,7,0.000,0.000,0.000,0.000,No TD Att,No TD Att,2.500,1.250,1.563,5.313,0.469,0.625,,,,,,,0,0,2,0,0
Nick Diaz,MW,"6' 1""","76.0""",Southpaw,2,1,1,19.566,8.833,7.425,0.000,0.000,0.000,22,0.000,0.035,0.035,0.106,0,0.333333333,6.510,2.006,0.317,3.906,1.971,1.548,,,,,,,0,0,1,0,1
Tony Ferguson,LW,"5' 11""","76.0""",Orthodox,3,0,3,7.575,3.014,3.958,0.000,0.026,0.006,884,0.026,0.105,0.079,0.183,0.333333333,0.571428571,1.206,0.786,1.022,2.674,0.786,0.498,,,,,,1,0,0,1,1,0
Khamzat Chimaev,WW,"6' 2""","75.0""",Orthodox,3,3,0,14.793,6.493,5.810,0.049,0.000,0.358,6,0.244,0.000,0.488,0.244,0.5,0,5.321,0.683,0.488,4.345,1.074,0.391,,,,,,,1,0,0,0,2
Li Jingliang,WW,"6' 0""","71.0""",Orthodox,4,2,2,9.809,4.239,4.549,0.062,0.000,0.018,251,0.062,0.062,0.093,0.155,0.666666667,0.4,1.362,1.176,1.702,3.218,0.619,0.712,,,,,,1,0,2,0,1,0
Hakeem Dawodu,FW,"5' 8""","73.0""",Orthodox,3,1,2,12.400,5.644,4.533,0.000,0.000,0.094,830,0.000,0.267,0.022,0.444,0,0.6,2.867,1.711,1.067,2.956,1.244,0.333,,,,,,2,1,0,0,0,0
Jake Collier,HW,"6' 3""","78.0""",Orthodox,4,1,3,16.795,7.381,6.251,0.025,0.000,0.155,70,0.100,0.000,0.176,0.000,0.571428571,No TD Att,5.548,0.979,0.854,4.669,1.054,0.527,,,,,,2,0,0,1,0,1
Chris Barnett,HW,"5' 9""","75.0""",Orthodox,4,2,2,10.944,4.414,5.875,0.030,0.060,0.049,681,0.000,0.060,0.030,0.089,0,0.666666667,2.773,0.447,1.193,3.668,1.968,0.239,,,,,,1,0,2,0,1,0
Chad Anheliger,BW,"5' 6""","64.0""",Orthodox,1,0,1,10.867,2.600,3.267,0.000,0.000,0.000,83,0.000,0.133,0.000,0.133,No TD Att,1,1.667,0.533,0.400,2.000,0.400,0.867,,,,,,1,0,0,0,0,0
Alatengheili,BW,"5' 5""","66.0""",Orthodox,3,2,1,9.258,3.054,2.761,0.032,0.000,0.049,123,0.065,0.097,0.097,0.260,0.666666667,0.375,2.014,0.520,0.520,1.852,0.455,0.455,,,,,,,1,1,0,0,0
Darian Weeks,WW,"5' 11""","72.0""",Orthodox,3,0,3,9.533,4.489,4.556,0.000,0.000,0.177,77,0.133,0.000,0.444,0.044,0.3,0,2.067,1.222,1.200,2.489,1.044,1.022,,,,,,3,0,0,0,0,0
