Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Daniel Pineda,FW,"5' 7""","69.0""",Orthodox,2,1,1,9.412,2.868,4.559,0.074,0.000,0.292,132,0.074,0.074,0.662,0.368,0.111111111,0.2,1.250,0.515,1.103,3.382,0.882,0.294,,,,,,,0,0,0,0,1
Tucker Lutz,FW,"5' 8""","72.0""",Orthodox,3,1,2,8.749,3.806,3.198,0.000,0.026,0.153,847,0.106,0.159,0.238,0.396,0.444444444,0.4,2.141,1.004,0.661,1.692,1.031,0.476,,,,,,1,1,0,0,1,0
Steven Peterson,FW,"5' 10""","70.0""",Orthodox,3,1,2,11.156,4.956,6.022,0.000,0.022,0.204,342,0.022,0.133,0.156,0.289,0.142857143,0.461538462,3.533,0.711,0.711,4.089,1.311,0.622,,,,,,2,1,0,0,0,0
Lucas Alexander,FW,"5' 11""","73.0""",Orthodox,2,1,1,9.452,5.049,1.761,0.059,0.000,0.054,116,0.000,0.117,0.000,0.352,No TD Att,0.333333333,2.524,1.174,1.350,0.587,0.528,0.646,,,,,,,1,0,0,1,0
Trevin Giles,MW,"6' 0""","74.0""",Orthodox,5,3,2,5.647,2.241,2.420,0.000,0.036,0.162,946,0.072,0.125,0.215,0.359,0.333333333,0.35,1.649,0.251,0.341,1.237,0.412,0.771,,,,,,,3,0,2,0,0
Preston Parsons,WW,"5' 11""","71.0""",Orthodox,3,1,2,9.887,4.144,3.759,0.000,0.000,0.394,370,0.207,0.000,0.622,0.089,0.333333333,0,2.901,0.562,0.681,2.930,0.503,0.326,,,,,,1,1,0,1,0,0
CJ Vergara,FLW,"5' 6""","68.0""",Orthodox,4,2,2,12.856,5.498,4.754,0.000,0.041,0.205,639,0.000,0.145,0.000,0.496,No TD Att,0.291666667,3.038,1.860,0.599,3.018,1.302,0.434,,,,,,1,1,1,0,1,0
Daniel Lacerda,FLW,"5' 6""","70.0""",Switch,4,0,4,11.054,4.833,9.923,0.154,0.103,0.108,495,0.103,0.000,0.257,0.000,0.4,No TD Att,2.776,1.131,0.925,7.404,1.645,0.874,,,,,,,0,0,3,1,0
Victor Altamirano,FLW,"5' 8""","70.0""",Switch,3,2,1,13.254,5.914,4.547,0.030,0.030,0.251,106,0.119,0.089,0.773,0.446,0.153846154,0.2,3.210,1.932,0.773,2.853,1.070,0.624,,,,,,1,1,1,0,0,0
Vinicius Salvador,FLW,"5' 7""","70.0""",Southpaw,1,0,1,11.200,3.133,4.133,0.000,0.000,0.023,304,0.067,0.200,0.400,1.467,0.166666667,0.136363636,1.733,1.000,0.400,1.867,0.933,1.333,,,,,,1,0,0,0,0,0
Leon Edwards,WW,"6' 2""","74.0""",Southpaw,4,3,1,5.393,3.415,3.200,0.013,0.000,0.104,1085,0.063,0.113,0.151,0.340,0.416666667,0.333333333,1.411,0.869,1.134,2.230,0.731,0.239,,,,,,,2,1,0,0,0
Kamaru Usman,WW,"6' 0""","76.0""",Switch,5,3,2,11.228,4.379,3.949,0.055,0.011,0.228,289,0.132,0.011,0.331,0.221,0.4,0.05,2.967,1.081,0.331,1.809,1.070,1.070,,,,,,1,1,2,1,0,0
Justin Gaethje,LW,"5' 11""","70.0""",Orthodox,3,2,1,12.348,7.193,6.893,0.060,0.030,0.057,42,0.030,0.030,0.090,0.210,0.333333333,0.142857143,5.305,0.719,1.169,3.596,2.727,0.569,,,,,,,2,0,0,1,0
Rafael Fiziev,LW,"5' 8""","71.0""",Switch,4,3,1,11.288,5.285,5.732,0.016,0.000,0.052,392,0.000,0.064,0.016,0.399,0,0.16,2.443,2.028,0.814,3.640,1.277,0.814,,,,,,1,1,2,0,0,0
Gunnar Nelson,WW,"5' 11""","72.0""",Switch,2,2,0,9.421,2.720,0.806,0.000,0.000,0.573,0,0.202,0.000,0.252,0.000,0.8,No TD Att,2.217,0.453,0.050,0.353,0.101,0.353,,,,,,,1,0,0,0,1
Bryan Barbarena,WW,"6' 0""","72.0""",Southpaw,6,3,3,15.473,5.989,4.852,0.000,0.014,0.037,1426,0.000,0.302,0.014,0.562,0,0.536585366,4.276,0.877,0.836,2.755,1.603,0.370,,,,,,1,2,1,0,2,0
Marvin Vettori,MW,"6' 0""","74.0""",Southpaw,5,3,2,11.171,3.914,4.200,0.000,0.000,0.294,112,0.152,0.019,0.352,0.029,0.432432432,0.666666667,2.790,0.543,0.581,2.390,0.952,0.857,,,,,,2,3,0,0,0,0
Roman Dolidze ,MW,,,,4,2,2,9.988,3.376,4.416,0.023,0.000,0.116,233,0.023,0.092,0.092,0.139,0.25,0.666666667,2.312,0.509,0.555,2.382,0.647,1.387,,,,,,2,0,0,0,0,2
Jack Shore,BW,"5' 8""","71.0""",Orthodox,5,4,1,7.883,3.894,2.718,0.032,0.016,0.269,908,0.191,0.079,0.509,0.381,0.375,0.208333333,2.654,0.604,0.636,1.065,0.826,0.826,,,,,,,3,0,0,1,1
Makwan Amirkhani,FW,"5' 10""","72.0""",Southpaw,5,1,4,3.116,1.131,3.769,0.000,0.025,0.405,555,0.352,0.151,0.653,0.176,0.538461538,0.857142857,0.804,0.226,0.101,2.764,0.603,0.402,,,,,,1,0,0,2,1,1
Chris Duncan ,LW,,,,1,1,0,6.133,3.533,3.133,0.000,0.000,0.434,2,0.333,0.000,0.933,0.000,0.357142857,No TD Att,0.800,1.133,1.600,2.133,0.333,0.667,,,,,,,1,0,0,0,0
Omar Morales,FW,"5' 11""","73.0""",Orthodox,4,1,3,7.790,3.455,3.391,0.000,0.043,0.039,932,0.043,0.258,0.043,0.644,1,0.4,2.296,0.429,0.730,1.266,1.116,1.009,,,,,,1,1,0,1,1,0
Sam Patterson,LW,"6' 3""","78.0""",Orthodox,1,0,1,5.600,1.600,12.000,0.000,0.000,0.000,7,0.000,0.800,0.000,0.800,No TD Att,1,0.800,0.000,0.800,11.200,0.000,0.800,,,,,,,0,0,1,0,0
Yanal Ashmoz,LW,"5' 9""","68.0""",Orthodox,1,1,0,16.000,12.000,1.600,0.000,0.000,0.093,0,0.800,0.000,0.800,0.000,1,No TD Att,11.200,0.000,0.800,0.800,0.000,0.800,,,,,,,0,1,0,0,0
Muhammad Mokaev,FLW,"5' 7""","70.0""",Orthodox,4,4,0,6.521,1.135,0.868,0.022,0.000,0.678,246,0.490,0.045,0.912,0.045,0.536585366,1,0.512,0.445,0.178,0.423,0.245,0.200,,,,,,,1,0,0,0,3
Jafel Filho ,FLW,,,,1,0,1,5.986,0.619,1.101,0.000,0.000,0.057,495,0.000,0.275,0.000,0.550,No TD Att,0.5,0.069,0.138,0.413,0.275,0.550,0.275,,,,,,,0,0,0,1,0
Lerone Murphy,FW,"5' 9""","73.0""",Orthodox,3,3,0,9.139,4.115,3.179,0.028,0.000,0.122,566,0.057,0.312,0.170,0.568,0.333333333,0.55,2.611,0.993,0.511,1.447,1.022,0.710,,,,,,,2,1,0,0,0
Gabriel Santos,FW,"5' 9""","70.0""",Orthodox,1,0,1,9.400,4.600,6.200,0.000,0.000,0.267,138,0.333,0.067,0.733,0.133,0.454545455,0.5,2.133,1.600,0.867,3.933,1.800,0.467,,,,,,1,0,0,0,0,0
Christian Duncan,MW,"6' 2""","79.0""",Switch,1,1,0,10.179,4.821,2.143,0.000,0.000,0.339,0,0.000,0.000,0.000,0.000,No TD Att,No TD Att,1.607,1.071,2.143,0.000,1.071,1.071,,,,,,,0,1,0,0,0
Dusko Todorovic,MW,"6' 1""","74.0""",Orthodox,6,2,4,11.062,4.053,4.129,0.000,0.076,0.221,514,0.076,0.153,0.408,0.280,0.1875,0.545454545,3.033,0.841,0.178,2.676,1.096,0.357,,,,,,1,1,1,3,0,0
Jake Hadley,FLW,"5' 7""","70.0""",Southpaw,3,2,1,10.944,4.563,3.845,0.042,0.000,0.165,666,0.000,0.127,0.000,0.211,No TD Att,0.6,2.408,1.225,0.930,1.648,1.268,0.930,,,,,,1,0,1,0,0,1
Malcom Gordon,FLW,"5' 7""","71.0""",Switch,4,2,2,7.449,2.169,1.980,0.000,0.031,0.285,914,0.126,0.283,0.409,0.314,0.307692308,0.9,1.854,0.126,0.189,1.194,0.534,0.251,,,,,,,1,1,1,1,0
Jai Herbert,LW,"6' 1""","77.0""",Orthodox,5,2,3,9.553,2.724,2.992,0.041,0.021,0.189,996,0.021,0.165,0.083,0.371,0.25,0.444444444,1.568,0.743,0.413,1.878,0.557,0.557,,,,,,,1,1,1,1,0
Ludovit Klein,FW,"5' 7""","72.0""",Southpaw,4,2,2,7.533,3.367,3.250,0.017,0.000,0.334,325,0.100,0.017,0.217,0.150,0.461538462,0.111111111,1.917,1.017,0.433,1.400,1.267,0.583,,,,,,1,2,0,0,0,0
Petr Yan,BW,"5' 7""","67.0""",Switch,5,1,4,8.376,3.937,5.106,0.018,0.000,0.172,1151,0.128,0.137,0.247,0.868,0.518518519,0.157894737,2.238,0.859,0.840,3.115,1.260,0.731,,,,,,3,1,0,0,0,0
