Date,Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decision,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,F1 Strike Acc%,F1 TD Acc%,F1 HS%,F1 BS%,F1 LS%,F1 Strike/Sec,F1 Sig Strike/Sec,F2 Strike Acc%,F2 TD Acc%,F2 HS%,F2 BS%,F2 LS%,F2 Strike/Sec,F2 Sig Strike/Sec,F1 Strike Diff,F1 Sig Strike Diff,F2 Strike Diff,F2 Sig Strike Diff,Submission,KO,Method of Victory ,Gender
3/4/2023,Julian Marquez,Marc-Andre Barriault,F2,MW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,552,1,0,0,0,0,89,172,82,63,10,9,246,109,91,18,0,0,0,0.477,0,0.768,0.122,0.11,0.115,0.055,0.443,No Takedown Attempted,0.711,0.141,0,0.164,0.073,-74,-27,74,27,0,1,KO/TKO,M
3/4/2023,Ian Garry,Song Kenan,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,862,0,0,5,3,2,44,231,127,58,36,33,120,55,18,8,29,1,1,0.55,No Takedown Attempted,0.457,0.283,0.26,0.154,0.085,0.458,0.667,0.141,0.063,0.227,0.08,0.037,111,72,-111,-72,0,1,KO/TKO,M
3/4/2023,Mana Martinez,Cory Saaiman,F2,BW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,900,0,0,0,1,1,247,160,60,40,15,5,272,117,66,23,28,0,1,0.375,No Takedown Attempted,0.667,0.25,0.083,0.107,0.04,0.43,1,0.516,0.18,0.219,0.181,0.078,-112,-57,112,57,0,0,MD,M
3/4/2023,Damon Blackshear,Farid Basharat,F2,BW,"Las Vegas, NV",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,900,6,1,158,6,3,328,164,46,23,12,11,115,58,36,14,8,0,0,0.28,0.167,0.5,0.261,0.239,0.109,0.031,0.504,0.5,0.281,0.109,0.063,0.077,0.039,49,-12,-49,12,0,0,UD,M
3/4/2023,Esteban Ribovics ,Loik Radzhabov,F2,LW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,900,1,0,31,21,11,459,162,66,52,11,3,117,40,33,6,1,1,0,0.407,0,0.788,0.167,0.045,0.108,0.044,0.342,0.524,0.258,0.047,0.008,0.078,0.027,45,26,-45,-26,0,0,UD,M
2/25/1934,Andre Muniz,Brendan Allen,F2,MW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,865,3,0,15,1,1,252,114,43,25,8,10,129,42,21,12,9,0,0,0.377,0,0.581,0.186,0.233,0.076,0.029,0.326,1,0.164,0.094,0.07,0.086,0.028,-15,1,15,-1,1,0,RNC,M
2/25/1934,Augusto Sakai,Don'Tale Mayes,F1,HW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,900,2,1,531,1,0,166,173,53,27,18,8,121,29,15,10,4,0,0,0.306,0.5,0.509,0.34,0.151,0.115,0.035,0.24,0,0.117,0.078,0.031,0.081,0.019,52,24,-52,-24,0,0,UD,M
2/25/1934,Mike Malott,Yohann Lainesse,F1,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,255,1,1,96,1,0,0,28,9,3,4,2,4,1,1,0,0,0,0,0.321,1,0.333,0.444,0.222,0.019,0.006,0.25,0,0.008,0,0,0.003,0.001,24,8,-24,-8,1,0,Arm Triangle,M
2/25/1934,Erick Gonzalez,Trevor Peek,F2,LW,Apex,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,299,6,4,135,1,0,16,35,7,5,1,1,86,51,38,8,5,0,2,0.2,0.667,0.714,0.143,0.143,0.023,0.005,0.593,0,0.297,0.063,0.039,0.057,0.034,-51,-44,51,44,0,1,KO/TKO,M
2/25/1934,Jordan Leavitt,Victor Martinez,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,147,2,0,46,0,0,0,38,17,8,6,3,31,7,4,0,3,1,0,0.447,0,0.471,0.353,0.176,0.025,0.011,0.226,No Takedown Attempted,0.031,0,0.023,0.021,0.005,7,10,-7,-10,0,1,KO/TKO,M
